coverage	method	method_dir	metrics_json	report	assignments	provenance
30x	DADEC	dadec_dev	benchmark/results/classification/30strains_legacy/30x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/30x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/30x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/dadec_dev/provenance.json
30x	FMLRC	fmlrc_current	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/provenance.json
30x	F_HERO	f_hero	benchmark/results/classification/30strains_legacy/30x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/30x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/30x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/f_hero/provenance.json
30x	Ratatosk	ratatosk	benchmark/results/classification/30strains_legacy/30x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/30x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/30x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/ratatosk/provenance.json
30x	R_HERO	r_hero	benchmark/results/classification/30strains_legacy/30x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/30x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/30x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/r_hero/provenance.json
30x	LoRDEC	lordec	benchmark/results/classification/30strains_legacy/30x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/30x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/30x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/lordec/provenance.json
30x	L_HERO	l_hero	benchmark/results/classification/30strains_legacy/30x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/30x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/30x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/l_hero/provenance.json
30x	CoLoRMap	colormap	benchmark/results/classification/30strains_legacy/30x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/30x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/30x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/colormap/provenance.json
30x	Proovread	proovread	benchmark/results/classification/30strains_legacy/30x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/30x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/30x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/30x/proovread/provenance.json
40x	DADEC	dadec_dev	benchmark/results/classification/30strains_legacy/40x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/40x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/40x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/dadec_dev/provenance.json
40x	FMLRC	fmlrc_current	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/provenance.json
40x	F_HERO	f_hero	benchmark/results/classification/30strains_legacy/40x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/40x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/40x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/f_hero/provenance.json
40x	Ratatosk	ratatosk	benchmark/results/classification/30strains_legacy/40x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/40x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/40x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/ratatosk/provenance.json
40x	R_HERO	r_hero	benchmark/results/classification/30strains_legacy/40x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/40x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/40x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/r_hero/provenance.json
40x	LoRDEC	lordec	benchmark/results/classification/30strains_legacy/40x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/40x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/40x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/lordec/provenance.json
40x	L_HERO	l_hero	benchmark/results/classification/30strains_legacy/40x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/40x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/40x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/l_hero/provenance.json
40x	CoLoRMap	colormap	benchmark/results/classification/30strains_legacy/40x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/40x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/40x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/colormap/provenance.json
40x	Proovread	proovread	benchmark/results/classification/30strains_legacy/40x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/40x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/40x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/40x/proovread/provenance.json
50x	DADEC	dadec_dev	benchmark/results/classification/30strains_legacy/50x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/50x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/50x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/dadec_dev/provenance.json
50x	FMLRC	fmlrc_current	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/provenance.json
50x	F_HERO	f_hero	benchmark/results/classification/30strains_legacy/50x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/50x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/50x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/f_hero/provenance.json
50x	Ratatosk	ratatosk	benchmark/results/classification/30strains_legacy/50x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/50x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/50x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/ratatosk/provenance.json
50x	R_HERO	r_hero	benchmark/results/classification/30strains_legacy/50x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/50x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/50x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/r_hero/provenance.json
50x	LoRDEC	lordec	benchmark/results/classification/30strains_legacy/50x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/50x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/50x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/lordec/provenance.json
50x	L_HERO	l_hero	benchmark/results/classification/30strains_legacy/50x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/50x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/50x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/l_hero/provenance.json
50x	CoLoRMap	colormap	benchmark/results/classification/30strains_legacy/50x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/50x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/50x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/colormap/provenance.json
50x	Proovread	proovread	benchmark/results/classification/30strains_legacy/50x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/50x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/50x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/50x/proovread/provenance.json
