dataset_label	dataset_id	short_coverage	method	method_id	run_id	software_revision	config_match	candidate_status	expected_parameters	actual_parameters	evaluation_tool	ambiguity_score	report_status	resource_status	CPU(h)	WallTime(h)	Memory(GB)	mismatches_per_100_kbp	indels_per_100_kbp	haplotype_coverage_percent	local_misassemblies	contigs_number	residual_errors_per_100_kbp	metric_rank_within_config	is_metric_best	is_recommended	selection_reason	run_config	provenance	report	resource_log
arabidopsis	arabidopsis	10x	FMLRC	fmlrc	arabidopsis_10x_fmlrc_original_k21_k59	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":59}"	"{""fmlrc_k1"":21,""fmlrc_k2"":59}"	quast	NA	present	present	22.420	0.618	2.272	323.64	376.94	42.664	3989	545293	700.58	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_fmlrc.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_fmlrc_original_k21_k59/output/short_10x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_fmlrc_original_k21_k59/benchmark/short_10x/fmlrc/resources.time.txt
arabidopsis	arabidopsis	10x	F_HERO	f_hero	arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":59,""hero_iterations"":3,""hero_split"":10}"	"{""fmlrc_k1"":21,""fmlrc_k2"":59,""hero_iterations"":3,""hero_split"":10}"	quast	NA	present	present	1562.828	32.887	33.647	537.83	527.35	72.99	50694	539321	1065.18	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_f_hero.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3/output/short_10x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3/benchmark/short_10x/f_hero/resources.time.txt
arabidopsis	arabidopsis	10x	Ratatosk	ratatosk	arabidopsis_10x_ratatosk_original_k21_k63	original_or_legacy	exact	complete	"{""ratatosk_k1"":21,""ratatosk_k2"":63}"	"{""ratatosk_k1"":21,""ratatosk_k2"":63}"	quast	NA	present	present	144.105	2.577	5.449	741.85	820.0	40.334	8025	545573	1561.85	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_ratatosk.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_ratatosk_original_k21_k63/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_ratatosk_original_k21_k63/output/short_10x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_ratatosk_original_k21_k63/benchmark/short_10x/ratatosk/resources.time.txt
arabidopsis	arabidopsis	10x	R_HERO	r_hero	arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3	original_or_legacy	exact	complete	"{""hero_iterations"":3,""hero_split"":10,""ratatosk_k1"":31,""ratatosk_k2"":63}"	"{""hero_iterations"":3,""hero_split"":10,""ratatosk_k1"":31,""ratatosk_k2"":63}"	quast	NA	present	present	1072.166	22.822	33.104	940.08	825.15	71.281	37388	542007	1765.23	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_r_hero.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3/output/short_10x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3/benchmark/short_10x/r_hero/resources.time.txt
arabidopsis	arabidopsis	10x	LoRDEC	lordec	arabidopsis_10x_lordec_original_k21_ls5	original_or_legacy	exact	complete	"{""lordec_k"":21,""lordec_solid"":5}"	"{""lordec_k"":21,""lordec_solid"":5}"	quast	NA	present	present	106.720	1.918	5.454	1110.04	1220.09	87.115	29043	545409	2330.13	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_lordec.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_lordec_original_k21_ls5/output/short_10x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_lordec_original_k21_ls5/benchmark/short_10x/lordec/resources.time.txt
arabidopsis	arabidopsis	10x	L_HERO	l_hero	arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3	original_or_legacy	exact	complete	"{""hero_iterations"":3,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	"{""hero_iterations"":3,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	quast	NA	present	present	1269.142	27.323	34.587	830.31	715.82	76.903	49988	538873	1546.13	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_l_hero.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3/output/short_10x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3/benchmark/short_10x/l_hero/resources.time.txt
arabidopsis	arabidopsis	10x	CoLoRMap	colormap	arabidopsis_10x_colormap_original	original_or_legacy	exact	complete	{}	{}	quast	NA	present	present	20.587	4.935	89.985	1073.86	1296.02	98.831	53899	546038	2369.88	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_colormap.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_colormap_original/output/short_10x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_colormap_original/benchmark/short_10x/colormap/resources.time.txt
arabidopsis	arabidopsis	10x	Proovread	proovread	arabidopsis_10x_proovread_original	original_or_legacy	exact	complete	{}	{}	quast	NA	present	present	734.169	20.660	69.881	1349.58	1827.57	99.178	32414	447940	3177.15	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_proovread.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_proovread_original/output/short_10x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_proovread_original/benchmark/short_10x/proovread/resources.time.txt
arabidopsis	arabidopsis	15x	DADEC	dadec	arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":1,""dadec_threshold"":0.08}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":1,""dadec_threshold"":0.08}"	quast	NA	present	present	147.894	4.242	26.154	879.24	675.91	99.001	71407	544776	1555.15	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/15x_dadec.yaml	benchmark/runs/arabidopsis_15x/arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/provenance.json	benchmark/runs/arabidopsis_15x/arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1/output/short_15x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_15x/arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/short_15x/dadec/resources.time.txt
arabidopsis	arabidopsis	15x	LoRDEC	lordec	arabidopsis_15x_lordec_original_k21_ls5	original_or_legacy	exact	complete	"{""lordec_k"":21,""lordec_solid"":5}"	"{""lordec_k"":21,""lordec_solid"":5}"	quast	NA	present	present	169.679	5.258	5.227	1076.09	1128.29	97.23	67252	545250	2204.38	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/15x_lordec.yaml	benchmark/runs/arabidopsis_15x/arabidopsis_15x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_15x/arabidopsis_15x_lordec_original_k21_ls5/output/short_15x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_15x/arabidopsis_15x_lordec_original_k21_ls5/benchmark/short_15x/lordec/resources.time.txt
arabidopsis	arabidopsis	20x	DADEC	dadec	arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":1,""dadec_threshold"":0.1}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":1,""dadec_threshold"":0.1}"	quast	NA	present	present	76.834	2.157	26.221	364.05	131.16	99.662	61411	545679	495.21	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/20x_dadec.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/output/short_20x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/short_20x/dadec/resources.time.txt
arabidopsis	arabidopsis	20x	FMLRC	fmlrc	arabidopsis_20x_fmlrc_original_k21_k59	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":59}"	"{""fmlrc_k1"":21,""fmlrc_k2"":59}"	quast	NA	present	present	23.945	0.428	4.329	900.3	1026.15	96.619	64781	544861	1926.45	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_fmlrc.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_fmlrc_original_k21_k59/output/short_20x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_fmlrc_original_k21_k59/benchmark/short_20x/fmlrc/resources.time.txt
arabidopsis	arabidopsis	20x	F_HERO	f_hero	arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":59,""hero_iterations"":3,""hero_split"":10}"	"{""fmlrc_k1"":21,""fmlrc_k2"":59,""hero_iterations"":3,""hero_split"":10}"	quast	NA	present	present	1297.819	27.182	36.402	968.26	904.53	93.907	221061	539827	1872.79	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_f_hero.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3/output/short_20x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3/benchmark/short_20x/f_hero/resources.time.txt
arabidopsis	arabidopsis	20x	Ratatosk	ratatosk	arabidopsis_20x_ratatosk_original_k31_k63	original_or_legacy	exact	complete	"{""ratatosk_k1"":31,""ratatosk_k2"":63}"	"{""ratatosk_k1"":31,""ratatosk_k2"":63}"	quast	NA	present	present	53.918	0.970	6.363	1106.44	1572.8	89.272	20340	545657	2679.24	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_ratatosk.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_ratatosk_original_k31_k63/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_ratatosk_original_k31_k63/output/short_20x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_ratatosk_original_k31_k63/benchmark/short_20x/ratatosk/resources.time.txt
arabidopsis	arabidopsis	20x	R_HERO	r_hero	arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1	original_or_legacy	exact	complete	"{""hero_iterations"":1,""hero_split"":10,""ratatosk_k1"":31,""ratatosk_k2"":63}"	"{""hero_iterations"":1,""hero_split"":10,""ratatosk_k1"":31,""ratatosk_k2"":63}"	quast	NA	present	present	1213.442	26.693	73.113	1414.83	1428.32	87.891	78136	544923	2843.15	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_r_hero.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1/output/short_20x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1/benchmark/short_20x/r_hero/resources.time.txt
arabidopsis	arabidopsis	20x	LoRDEC	lordec	arabidopsis_20x_lordec_original_k21_ls5	original_or_legacy	exact	complete	"{""lordec_k"":21,""lordec_solid"":5}"	"{""lordec_k"":21,""lordec_solid"":5}"	quast	NA	present	present	173.484	2.928	5.570	853.45	764.43	98.282	79788	545165	1617.88	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_lordec.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_lordec_original_k21_ls5/output/short_20x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_lordec_original_k21_ls5/benchmark/short_20x/lordec/resources.time.txt
arabidopsis	arabidopsis	20x	L_HERO	l_hero	arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1	original_or_legacy	exact	complete	"{""hero_iterations"":1,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	"{""hero_iterations"":1,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	quast	NA	present	present	1554.659	29.484	63.236	1329.96	1260.01	92.609	95063	543977	2589.97	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_l_hero.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1/output/short_20x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1/benchmark/short_20x/l_hero/resources.time.txt
arabidopsis	arabidopsis	20x	CoLoRMap	colormap	arabidopsis_20x_colormap_original	original_or_legacy	exact	complete	{}	{}	quast	NA	present	present	36.608	6.604	98.931	937.74	1048.85	99.482	60784	546188	1986.59	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_colormap.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_colormap_original/output/short_20x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_colormap_original/benchmark/short_20x/colormap/resources.time.txt
arabidopsis	arabidopsis	20x	Proovread	proovread	arabidopsis_20x_proovread_original	original_or_legacy	exact	complete	{}	{}	quast	NA	present	present	1421.679	35.196	94.215	746.4	666.37	99.766	67099	447662	1412.77	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_proovread.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_proovread_original/output/short_20x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_proovread_original/benchmark/short_20x/proovread/resources.time.txt
arabidopsis	arabidopsis	25x	DADEC	dadec	arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":31,""dadec_k2"":31,""dadec_split"":1,""dadec_threshold"":0.08}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":31,""dadec_k2"":31,""dadec_split"":1,""dadec_threshold"":0.08}"	quast	NA	present	present	99.501	3.889	23.997	400.83	125.5	99.581	53445	545427	526.33	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/25x_dadec.yaml	benchmark/runs/arabidopsis_25x/arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/provenance.json	benchmark/runs/arabidopsis_25x/arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1/output/short_25x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_25x/arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/short_25x/dadec/resources.time.txt
arabidopsis	arabidopsis	30x	DADEC	dadec	arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1	dev_fix_a	exact	complete	"{""dadec_abundance1"":3,""dadec_abundance2"":2,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":10,""dadec_threshold"":0.1}"	"{""dadec_abundance1"":3,""dadec_abundance2"":2,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":10,""dadec_threshold"":0.1}"	quast	NA	present	present	71.140	2.450	12.188	329.63	136.06	99.686	57943	545569	465.69	2	no	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/30x_dadec.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1/output/short_30x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1/benchmark/short_30x/dadec/resources.time.txt
