dataset_label	short_coverage	method	run_id	software_revision	selection_reason	run_config	provenance	report	resource_log	report_status	resource_status
arabidopsis	10x	FMLRC	arabidopsis_10x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_fmlrc.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_fmlrc_original_k21_k59/output/short_10x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_fmlrc_original_k21_k59/benchmark/short_10x/fmlrc/resources.time.txt	present	present
arabidopsis	10x	F_HERO	arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_f_hero.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3/output/short_10x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3/benchmark/short_10x/f_hero/resources.time.txt	present	present
arabidopsis	10x	Ratatosk	arabidopsis_10x_ratatosk_original_k21_k63	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_ratatosk.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_ratatosk_original_k21_k63/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_ratatosk_original_k21_k63/output/short_10x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_ratatosk_original_k21_k63/benchmark/short_10x/ratatosk/resources.time.txt	present	present
arabidopsis	10x	R_HERO	arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_r_hero.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3/output/short_10x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_r_hero_original_k31_k63_hs10_hi3/benchmark/short_10x/r_hero/resources.time.txt	present	present
arabidopsis	10x	LoRDEC	arabidopsis_10x_lordec_original_k21_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_lordec.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_lordec_original_k21_ls5/output/short_10x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_lordec_original_k21_ls5/benchmark/short_10x/lordec/resources.time.txt	present	present
arabidopsis	10x	L_HERO	arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_l_hero.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3/output/short_10x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_l_hero_original_k21_ls5_hs10_hi3/benchmark/short_10x/l_hero/resources.time.txt	present	present
arabidopsis	10x	CoLoRMap	arabidopsis_10x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_colormap.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_colormap_original/output/short_10x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_colormap_original/benchmark/short_10x/colormap/resources.time.txt	present	present
arabidopsis	10x	Proovread	arabidopsis_10x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/10x_proovread.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_proovread_original/output/short_10x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_proovread_original/benchmark/short_10x/proovread/resources.time.txt	present	present
arabidopsis	15x	DADEC	arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/15x_dadec.yaml	benchmark/runs/arabidopsis_15x/arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/provenance.json	benchmark/runs/arabidopsis_15x/arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1/output/short_15x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_15x/arabidopsis_15x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/short_15x/dadec/resources.time.txt	present	present
arabidopsis	15x	LoRDEC	arabidopsis_15x_lordec_original_k21_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/15x_lordec.yaml	benchmark/runs/arabidopsis_15x/arabidopsis_15x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_15x/arabidopsis_15x_lordec_original_k21_ls5/output/short_15x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_15x/arabidopsis_15x_lordec_original_k21_ls5/benchmark/short_15x/lordec/resources.time.txt	present	present
arabidopsis	20x	DADEC	arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/20x_dadec.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/output/short_20x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/short_20x/dadec/resources.time.txt	present	present
arabidopsis	20x	FMLRC	arabidopsis_20x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_fmlrc.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_fmlrc_original_k21_k59/output/short_20x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_fmlrc_original_k21_k59/benchmark/short_20x/fmlrc/resources.time.txt	present	present
arabidopsis	20x	F_HERO	arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_f_hero.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3/output/short_20x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_f_hero_original_k21_k59_hs10_hi3/benchmark/short_20x/f_hero/resources.time.txt	present	present
arabidopsis	20x	Ratatosk	arabidopsis_20x_ratatosk_original_k31_k63	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_ratatosk.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_ratatosk_original_k31_k63/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_ratatosk_original_k31_k63/output/short_20x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_ratatosk_original_k31_k63/benchmark/short_20x/ratatosk/resources.time.txt	present	present
arabidopsis	20x	R_HERO	arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_r_hero.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1/output/short_20x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_r_hero_original_k31_k63_hs10_hi1/benchmark/short_20x/r_hero/resources.time.txt	present	present
arabidopsis	20x	LoRDEC	arabidopsis_20x_lordec_original_k21_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_lordec.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_lordec_original_k21_ls5/output/short_20x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_lordec_original_k21_ls5/benchmark/short_20x/lordec/resources.time.txt	present	present
arabidopsis	20x	L_HERO	arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_l_hero.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1/output/short_20x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_l_hero_original_k21_ls5_hs10_hi1/benchmark/short_20x/l_hero/resources.time.txt	present	present
arabidopsis	20x	CoLoRMap	arabidopsis_20x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_colormap.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_colormap_original/output/short_20x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_colormap_original/benchmark/short_20x/colormap/resources.time.txt	present	present
arabidopsis	20x	Proovread	arabidopsis_20x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/20x_proovread.yaml	benchmark/runs/arabidopsis_20x/arabidopsis_20x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_20x/arabidopsis_20x_proovread_original/output/short_20x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_20x/arabidopsis_20x_proovread_original/benchmark/short_20x/proovread/resources.time.txt	present	present
arabidopsis	25x	DADEC	arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/25x_dadec.yaml	benchmark/runs/arabidopsis_25x/arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/provenance.json	benchmark/runs/arabidopsis_25x/arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1/output/short_25x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_25x/arabidopsis_25x_dadec_dev_fix_a_k31_k31_s1_a2_a1/benchmark/short_25x/dadec/resources.time.txt	present	present
arabidopsis	30x	DADEC	arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/30x_dadec.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1/output/short_30x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_dadec_dev_fix_a_k39_k39_s10_a3_a2_t0p1/benchmark/short_30x/dadec/resources.time.txt	present	present
arabidopsis	30x	FMLRC	arabidopsis_30x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_fmlrc.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_fmlrc_original_k21_k59/output/short_30x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_fmlrc_original_k21_k59/benchmark/short_30x/fmlrc/resources.time.txt	present	present
arabidopsis	30x	F_HERO	arabidopsis_30x_f_hero_original_k21_k59_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_f_hero.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_f_hero_original_k21_k59_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_f_hero_original_k21_k59_hs10_hi1/output/short_30x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_f_hero_original_k21_k59_hs10_hi1/benchmark/short_30x/f_hero/resources.time.txt	present	present
arabidopsis	30x	Ratatosk	arabidopsis_30x_ratatosk_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_ratatosk.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_ratatosk_original_k21_k31/output/short_30x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_ratatosk_original_k21_k31/benchmark/short_30x/ratatosk/resources.time.txt	present	present
arabidopsis	30x	R_HERO	arabidopsis_30x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_r_hero.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_r_hero_original_k21_k31_hs10_hi1/output/short_30x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_30x/r_hero/resources.time.txt	present	present
arabidopsis	30x	LoRDEC	arabidopsis_30x_lordec_original_k39_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_lordec.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_lordec_original_k39_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_lordec_original_k39_ls5/output/short_30x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_lordec_original_k39_ls5/benchmark/short_30x/lordec/resources.time.txt	present	present
arabidopsis	30x	L_HERO	arabidopsis_30x_l_hero_original_k39_ls5_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_l_hero.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_l_hero_original_k39_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_l_hero_original_k39_ls5_hs10_hi1/output/short_30x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_l_hero_original_k39_ls5_hs10_hi1/benchmark/short_30x/l_hero/resources.time.txt	present	present
arabidopsis	30x	CoLoRMap	arabidopsis_30x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_colormap.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_colormap_original/output/short_30x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_colormap_original/benchmark/short_30x/colormap/resources.time.txt	present	present
arabidopsis	30x	Proovread	arabidopsis_30x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/30x_proovread.yaml	benchmark/runs/arabidopsis_30x/arabidopsis_30x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_30x/arabidopsis_30x_proovread_original/output/short_30x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_30x/arabidopsis_30x_proovread_original/benchmark/short_30x/proovread/resources.time.txt	present	present
arabidopsis	32x	DADEC	arabidopsis_32x_dadec_dev_fix_a_k39_k39_s4_a3_a2_t0p1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/32x_dadec.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_dadec_dev_fix_a_k39_k39_s4_a3_a2_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_dadec_dev_fix_a_k39_k39_s4_a3_a2_t0p1/output/short_32x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_dadec_dev_fix_a_k39_k39_s4_a3_a2_t0p1/benchmark/short_32x/dadec/resources.time.txt	present	present
arabidopsis	32x	FMLRC	arabidopsis_32x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_fmlrc.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_fmlrc_original_k21_k59/output/short_32x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_fmlrc_original_k21_k59/benchmark/short_32x/fmlrc/resources.time.txt	present	present
arabidopsis	32x	F_HERO	arabidopsis_32x_f_hero_original_k21_k59_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_f_hero.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_f_hero_original_k21_k59_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_f_hero_original_k21_k59_hs10_hi1/output/short_32x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_f_hero_original_k21_k59_hs10_hi1/benchmark/short_32x/f_hero/resources.time.txt	present	present
arabidopsis	32x	Ratatosk	arabidopsis_32x_ratatosk_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_ratatosk.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_ratatosk_original_k21_k31/output/short_32x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_ratatosk_original_k21_k31/benchmark/short_32x/ratatosk/resources.time.txt	present	present
arabidopsis	32x	R_HERO	arabidopsis_32x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_r_hero.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_r_hero_original_k21_k31_hs10_hi1/output/short_32x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_32x/r_hero/resources.time.txt	present	present
arabidopsis	32x	LoRDEC	arabidopsis_32x_lordec_original_k39_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_lordec.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_lordec_original_k39_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_lordec_original_k39_ls5/output/short_32x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_lordec_original_k39_ls5/benchmark/short_32x/lordec/resources.time.txt	present	present
arabidopsis	32x	L_HERO	arabidopsis_32x_l_hero_original_k39_ls5_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_l_hero.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_l_hero_original_k39_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_l_hero_original_k39_ls5_hs10_hi1/output/short_32x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_l_hero_original_k39_ls5_hs10_hi1/benchmark/short_32x/l_hero/resources.time.txt	present	present
arabidopsis	32x	CoLoRMap	arabidopsis_32x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_colormap.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_colormap_original/output/short_32x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_colormap_original/benchmark/short_32x/colormap/resources.time.txt	present	present
arabidopsis	32x	Proovread	arabidopsis_32x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/32x_proovread.yaml	benchmark/runs/arabidopsis_32x/arabidopsis_32x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_32x/arabidopsis_32x_proovread_original/output/short_32x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_32x/arabidopsis_32x_proovread_original/benchmark/short_32x/proovread/resources.time.txt	present	present
